Player,Rk,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards
Aaron Sele,33,32,us US,right,right,5-Jun,205,6/25/70,10,26,26,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,
Scot Shields,34,26,us US,right,right,1-Jun,175,7/22/75,2,29,1,3,29,29,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Spiezio,35,29,us US,both,right,2-Jun,195,9/21/72,7,153,133,153,150,0,0,143,1,20,0,8,0,2,10,0,8,0,
Donne Wall,36,34,us US,right,right,1-Jun,180,7/11/67,8,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
Jarrod Washburn,37,27,us US,left,left,1-Jun,190,8/13/74,5,32,32,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,CYA-4
Ben Weber,38,32,us US,right,right,4-Jun,185,11/17/69,3,63,0,3,63,63,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Wise,39,26,us US,right,right,4-Jun,190,11/18/75,3,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,
Shawn Wooten,40,29,us US,right,right,10-May,205,7/24/72,3,49,24,49,19,0,2,16,0,1,0,0,0,0,0,26,15,1,
Micah Bowie,1,27,us US,left,left,4-Jun,185,11/10/74,2,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Bradford,2,27,us US,right,right,5-Jun,205,9/14/74,5,75,0,6,75,75,0,0,0,0,0,0,0,0,0,0,0,0,
Eric Byrnes,3,26,us US,right,right,2-Jun,200,2/16/76,3,90,19,90,79,0,0,0,0,0,0,52,10,22,79,7,11,26,
Eric Chávez,4,24,us US,left,right,1-Jun,215,12/7/77,5,153,151,153,143,0,0,0,0,143,0,1,0,0,1,9,2,0,"MVP-14,GG,SS"
Mike Colangelo,5,25,us US,right,right,1-Jun,185,10/22/76,3,20,5,20,19,0,0,0,0,0,0,14,1,5,19,0,2,6,
Ray Durham,6,30,us US,both,right,8-May,170,11/30/71,8,54,54,54,11,0,0,0,11,0,0,0,0,0,0,43,0,0,
Jermaine Dye,7,28,us US,right,right,4-Jun,210,1/28/74,7,131,128,131,111,0,0,0,0,0,0,0,0,111,111,19,3,0,
Mark Ellis,8,25,us US,right,right,10-May,190,6/6/77,1st,98,91,98,95,0,0,0,85,7,8,0,0,0,0,1,1,4,ROY-8
Jose Flores,9,29,us US,right,right,11-May,180,6/28/73,1st,7,1,7,3,0,0,0,2,0,1,0,0,0,0,1,1,5,
Mike Fyhrie,10,32,us US,right,right,2-Jun,190,12/9/69,5,16,4,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
Esteban Germán,11,24,do DO,right,right,9-May,195,1/26/78,1st,9,8,9,8,0,0,0,8,0,0,0,0,0,0,0,0,1,
Jeremy Giambi,12,27,us US,left,left,Jun-00,185,9/30/74,5,42,42,42,40,0,0,0,0,0,0,40,0,0,40,2,0,0,
Jason Grabowski,13,26,us US,left,right,3-Jun,200,5/24/76,1st,4,3,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0,
Aaron Harang,14,24,us US,right,right,7-Jun,260,5/9/78,1st,16,15,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Hatteberg,15,32,us US,left,right,1-Jun,192,12/14/69,8,136,129,136,91,0,0,91,0,0,0,0,0,0,0,42,7,0,
Ramón Hernández,16,26,ve VE,right,right,Jun-00,220,5/20/76,4,136,125,136,135,0,135,0,0,0,0,0,0,0,0,0,2,0,
Erik Hiljus,17,29,us US,right,right,5-Jun,230,12/25/72,4,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Holtz,18,29,us US,left,left,9-May,172,10/10/72,7,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Hudson,19,26,us US,right,right,1-Jun,175,7/14/75,4,34,34,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,
David Justice,20,36,us US,left,left,3-Jun,195,4/14/66,14,118,108,118,75,0,0,0,0,0,0,53,0,23,75,37,10,0,
Billy Koch,21,27,us US,right,right,3-Jun,218,12/14/74,4,84,0,6,84,84,0,0,0,0,0,0,0,0,0,0,0,0,MVP-18
Cory Lidle,22,30,us US,right,right,11-May,175,3/22/72,5,31,30,2,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
Ted Lilly,23,26,us US,left,left,Jun-00,195,1/4/76,4,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
Terrence Long,24,26,us US,left,left,1-Jun,190,2/29/76,4,162,158,162,162,0,0,0,0,0,0,0,162,0,162,0,1,2,
John Mabry,25,31,us US,left,right,4-Jun,195,10/17/70,9,89,50,89,84,0,0,50,0,0,0,33,0,21,53,0,14,0,
Mike Magnante,26,37,us US,left,left,1-Jun,180,6/17/65,12,32,0,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,
Cody McKay,27,28,ca CA,left,right,Jun-00,212,1/11/74,1st,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,
Jim Mecir,28,32,us US,both,right,1-Jun,195,5/16/70,8,61,0,4,61,61,0,0,0,0,0,0,0,0,0,0,0,0,
Frank Menechino,29,31,us US,right,right,9-May,175,1/7/71,4,38,32,38,36,0,0,0,32,4,2,0,0,0,0,1,2,0,
Mark Mulder,30,24,us US,left,left,6-Jun,200,8/5/77,3,30,30,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
Greg Myers,31,36,us US,left,right,1-Jun,200,4/14/66,15,65,36,65,53,0,53,0,0,0,0,0,0,0,0,1,21,0,
Carlos Peña,32,24,do DO,left,left,2-Jun,225,5/17/78,2,40,39,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,ROY-8
Adam Piatt,33,26,us US,right,right,2-Jun,195,2/8/76,3,55,35,55,51,0,0,1,0,0,0,40,0,12,50,0,11,3,
Ricardo Rincón,34,32,mx MX,left,left,10-May,190,4/13/70,6,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
Olmedo Sáenz,35,31,pa PA,right,right,2-Jun,185,10/8/70,5,68,37,68,49,0,0,34,0,15,0,0,0,0,0,7,26,0,
Larry Sutton,36,32,us US,left,left,11-May,175,5/14/70,6,7,4,7,7,0,0,6,0,0,0,2,0,1,3,0,0,2,
Jeff Tam,37,31,us US,right,right,1-Jun,202,8/19/70,5,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,
Miguel Tejada,38,28,do DO,right,right,9-May,220,5/25/74,6,162,161,162,162,0,0,0,0,0,162,0,0,0,0,0,1,0,"AS,MVP-1"
Randy Velarde,39,39,us US,right,right,Jun-00,185,11/24/62,16,56,32,56,42,0,0,5,38,1,0,0,0,0,0,5,10,10,
Mike Venafro,40,28,us US,left,left,10-May,170,8/2/73,4,47,0,5,47,47,0,0,0,0,0,0,0,0,0,0,0,0,
Barry Zito,41,24,us US,left,left,2-Jun,205,5/13/78,3,35,35,2,35,35,0,0,0,0,0,0,0,0,0,0,0,0,"AS,CYA-1,MVP-13"
Paul Abbott,1,34,us US,right,right,3-Jun,185,9/15/67,9,7,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,
James Baldwin,2,30,us US,right,right,3-Jun,210,7/15/71,8,30,23,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
Willie Bloomquist,3,24,us US,right,right,11-May,200,11/27/77,1st,12,8,12,9,0,0,0,4,0,0,7,0,0,7,2,1,2,
Bret Boone,4,33,us US,right,right,10-May,180,4/6/69,11,155,153,155,153,0,0,0,153,0,0,0,0,0,0,1,2,0,GG
Pat Borders,5,39,us US,right,right,2-Jun,190,5/14/63,14,4,0,4,2,0,2,0,0,0,0,0,0,0,0,2,2,0,
Mike Cameron,6,29,us US,right,right,2-Jun,210,1/8/73,8,158,146,158,155,0,0,0,0,0,0,0,155,0,155,1,3,5,
Jeff Cirillo,7,32,us US,right,right,2-Jun,190,9/23/69,9,146,130,146,146,0,0,11,0,141,0,0,0,0,0,0,4,1,
Doug Creek,8,33,us US,left,left,10-May,205,3/1/69,7,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Davis,9,25,us US,both,right,4-Jun,195,3/10/77,5,80,55,80,79,0,77,2,0,0,0,0,0,0,0,0,8,2,
Brian Fitzgerald,10,27,us US,left,left,11-May,175,12/26/74,1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Franklin,11,29,us US,right,right,3-Jun,190,3/5/73,3,41,12,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0,
Freddy García,12,25,ve VE,right,right,4-Jun,250,10/6/76,4,34,34,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,AS
Charles Gipson,13,29,us US,right,right,2-Jun,180,12/16/72,5,79,18,79,74,0,0,0,0,4,0,57,5,13,73,3,2,25,
Carlos Guillén,14,26,ve VE,both,right,1-Jun,215,9/30/75,5,134,129,134,130,0,0,0,0,0,130,0,0,0,0,3,2,1,
John Halama,15,30,us US,left,left,5-Jun,215,2/22/72,5,31,10,3,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
Shigetoshi Hasegawa,16,33,jp JP,right,right,11-May,160,8/1/68,6,53,0,4,53,53,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Kaye,17,26,us US,right,right,4-Jun,195,6/9/76,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
Gene Kingsale,18,25,aw AW,both,right,3-Jun,190,8/20/76,6,2,1,2,2,0,0,0,0,0,0,0,1,1,2,0,0,0,
Edgar Martínez,19,39,us US,right,right,Jun-00,175,1/2/63,16,97,91,97,0,0,0,0,0,0,0,0,0,0,0,91,6,0,
Julio Mateo,20,24,do DO,right,right,11-May,235,8/2/77,1st,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,
Mark McLemore,21,37,us US,both,right,11-May,175,10/4/64,17,104,94,104,96,0,0,0,2,14,1,82,12,1,88,4,8,0,
Jamie Moyer,22,39,us US,left,left,Jun-00,170,11/18/62,16,34,34,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Nelson,23,35,us US,right,right,8-Jun,225,11/17/66,11,41,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,
José Offerman,24,33,do DO,both,right,Jun-00,150,11/8/68,13,29,11,29,17,0,0,11,1,0,0,5,0,1,6,4,8,6,
John Olerud,25,33,us US,left,left,5-Jun,205,8/5/68,14,154,152,154,152,0,0,152,0,0,0,0,0,0,0,2,1,0,GG
Joel Piñeiro,26,23,pr PR,right,right,Jun-00,200,9/25/78,3,37,28,2,37,37,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Podsednik,27,26,us US,left,left,Jun-00,185,3/18/76,2,14,3,14,11,0,0,0,0,0,0,9,1,2,11,2,3,4,
Desi Relaford,28,28,us US,both,right,8-May,155,9/16/73,7,112,82,112,103,0,0,0,11,38,40,25,0,10,35,4,11,8,
Arthur Rhodes,29,32,us US,left,left,2-Jun,220,10/24/69,12,66,0,2,66,66,0,0,0,0,0,0,0,0,0,0,0,0,
Kazuhiro Sasaki,30,34,jp JP,right,right,4-Jun,209,2/22/68,3,61,0,3,61,61,0,0,0,0,0,0,0,0,0,0,0,0,AS
Rubén Sierra,31,36,pr PR,both,right,1-Jun,175,10/6/65,16,122,103,122,60,0,0,0,0,0,0,59,0,1,60,52,17,0,
Chris Snelling,32,20,us US,left,left,10-May,165,12/3/81,1st,8,8,8,8,0,0,0,0,0,0,6,0,2,8,0,0,0,
Rafael Soriano,33,22,do DO,right,right,4-Jun,230,12/19/79,1st,11,8,3,10,10,0,0,0,0,0,0,0,0,0,0,0,1,
Ichiro Suzuki,34,28,jp JP,left,right,11-May,175,10/22/73,2,157,153,157,152,0,0,0,0,0,0,0,3,150,152,4,3,0,"AS,MVP-17,GG"
Aaron Taylor,35,24,us US,right,right,7-Jun,230,8/20/77,1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
Luis Ugueto,36,23,ve VE,both,right,Jun-00,195,2/15/79,1st,62,3,62,20,0,0,0,11,1,8,0,0,0,0,16,2,44,
Ismael Valdéz,37,28,mx MX,right,right,3-Jun,185,8/21/73,9,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Watson,38,28,us US,right,left,4-Jun,215,1/23/74,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Wilson,39,33,us US,right,right,3-Jun,190,3/25/69,11,115,108,115,114,0,113,4,0,0,0,0,0,0,0,0,1,0,
Ron Wright,40,26,us US,right,right,1-Jun,230,1/21/76,1st,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Juan Alvarez,1,28,us US,left,left,1-Jun,180,8/9/73,3,52,0,6,52,52,0,0,0,0,0,0,0,0,0,0,0,0,
Rob Bell,2,25,us US,right,right,5-Jun,225,1/17/77,3,17,15,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
Joaquin Benoit,3,24,do DO,right,right,4-Jun,250,7/26/77,2,17,13,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
Hank Blalock,4,21,us US,left,right,1-Jun,192,11/21/80,1st,49,42,49,46,0,0,0,0,46,0,0,0,0,0,0,3,2,
Dave Burba,5,35,us US,right,right,4-Jun,220,7/7/66,13,23,18,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,
Frank Catalanotto,6,28,us US,left,right,Jun-00,170,4/27/74,6,68,51,68,57,0,0,15,23,0,0,26,0,0,26,8,9,3,
Francisco Cordero,7,27,do DO,right,right,3-Jun,245,5/11/75,4,39,0,5,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
Doug Davis,8,26,us US,right,left,4-Jun,215,9/21/75,4,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
Carl Everett,9,31,us US,both,right,Jun-00,181,6/3/71,10,105,97,105,83,0,0,0,0,0,0,18,33,39,83,18,7,1,
Randy Flores,10,26,us US,left,left,Jun-00,190,7/31/75,1st,20,0,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,
Reynaldo García,11,28,do DO,right,right,3-Jun,170,4/15/74,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
Juan González,12,32,pr PR,right,right,3-Jun,175,10/20/69,14,70,69,70,62,0,0,0,0,0,0,0,0,62,62,8,1,0,
Todd Greene,13,31,us US,right,right,10-May,195,5/8/71,7,42,25,42,31,0,15,15,0,0,0,1,0,0,1,4,11,1,
Rusty Greer,14,33,us US,left,left,Jun-00,190,1/21/69,9,51,47,51,27,0,0,1,0,0,0,22,0,6,26,22,2,0,
Travis Hafner,15,25,us US,left,right,3-Jun,240,6/3/77,1st,23,16,23,3,0,0,3,0,0,0,0,0,0,0,13,7,0,
Jason Hart,16,24,us US,right,right,4-Jun,237,9/5/77,1st,10,4,10,9,0,0,2,0,0,0,7,0,0,7,0,2,1,
Bill Haselman,17,36,us US,right,right,3-Jun,205,5/25/66,12,69,50,69,67,0,67,0,0,0,0,0,0,0,0,2,2,0,
Todd Hollandsworth,18,29,us US,left,left,2-Jun,193,4/20/73,8,39,33,39,38,0,0,0,0,0,0,25,16,4,38,0,6,0,
Hideki Irabu,19,33,jp JP,right,right,4-Jun,240,5/5/69,6,38,2,6,38,38,0,0,0,0,0,0,0,0,0,0,0,0,
Gabe Kapler,20,26,us US,right,right,2-Jun,190,7/31/75,5,72,48,72,65,0,0,1,0,0,0,31,23,18,64,1,10,6,
Danny Kolb,21,27,us US,right,right,4-Jun,185,3/29/75,4,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Kozlowski,22,21,us US,left,left,6-Jun,220,8/16/80,1st,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Lamb,23,26,us US,left,right,1-Jun,205,8/9/75,3,115,75,115,79,0,3,52,1,14,0,12,0,5,16,21,29,1,
Colby Lewis,24,22,us US,right,right,4-Jun,240,8/2/79,1st,15,4,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Ludwick,25,23,us US,right,left,2-Jun,215,7/13/78,1st,23,21,23,22,0,0,0,0,0,0,2,21,1,22,0,1,0,
Kevin Mench,26,24,us US,right,right,Jun-00,215,1/7/78,1st,110,96,110,106,0,0,0,0,0,0,57,1,62,106,3,6,3,ROY-7
Dan Miceli,27,31,us US,right,right,1-Jun,185,9/9/70,10,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Michalak,28,31,us US,left,left,2-Jun,195,1/4/71,3,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
Calvin Murray,29,30,us US,right,right,11-May,190,7/30/71,4,37,24,37,34,0,0,0,0,0,0,0,33,1,34,2,0,5,
Aaron Myette,30,24,ca CA,right,right,4-Jun,195,9/26/77,4,15,12,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,
C.J. Nitkowski,31,29,us US,left,left,2-Jun,185,3/9/73,7,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,
Héctor Ortiz,32,32,pr PR,right,right,Jun-00,205,10/14/69,4,7,4,7,7,0,7,0,0,0,0,0,0,0,0,0,1,0,
Rafael Palmeiro,33,37,cu CU,left,left,Jun-00,180,9/24/64,17,155,150,155,97,0,0,97,0,0,0,0,0,0,0,55,5,0,
Chan Ho Park,34,29,kr KR,right,right,2-Jun,210,6/30/73,9,25,25,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
Herbert Perry,35,32,us US,right,right,2-Jun,210,9/15/69,7,132,113,132,119,0,0,12,0,112,0,1,0,0,1,6,14,0,
Jay Powell,36,30,us US,right,right,4-Jun,220,1/9/72,8,51,0,4,51,51,0,0,0,0,0,0,0,0,0,0,0,0,
Dennys Reyes,37,25,mx MX,right,left,3-Jun,250,4/19/77,6,15,5,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,
Rubén Rivera,38,28,pa PA,right,right,3-Jun,195,11/14/73,8,69,56,69,67,0,0,0,0,0,0,0,67,0,67,2,2,3,
John Rocker,39,27,us US,right,left,4-Jun,210,10/17/74,5,30,0,6,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
Iván Rodríguez,40,30,pr PR,right,right,9-May,205,11/27/71,12,108,103,108,100,0,100,0,0,0,0,0,0,0,0,6,3,0,
Álex Rodríguez,41,26,us US,right,right,3-Jun,230,7/27/75,9,162,160,162,162,0,0,0,0,0,162,0,0,0,0,0,2,0,"AS,MVP-2,GG,SS"
Rich Rodriguez,42,39,us US,left,left,10-May,185,3/1/63,12,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,
Kenny Rogers,43,37,us US,left,left,1-Jun,200,11/10/64,14,34,33,3,33,33,0,0,0,0,0,0,0,0,0,0,0,1,GG
Jason Romano,44,23,us US,right,right,Jun-00,185,6/24/79,1st,29,12,29,24,0,0,0,8,1,0,11,8,0,18,4,2,9,
Donnie Sadler,45,27,us US,right,right,6-May,165,6/17/75,5,38,8,38,33,0,0,0,2,4,12,2,14,3,18,1,2,11,
Rudy Seánez,46,33,us US,right,right,10-May,185,10/20/68,11,33,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,
Anthony Telford,47,36,us US,right,right,Jun-00,175,3/6/66,9,20,0,5,20,20,0,0,0,0,0,0,0,0,0,0,0,0,
Ismael Valdéz,48,28,mx MX,right,right,3-Jun,185,8/21/73,9,23,23,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,
Todd Van Poppel,49,30,us US,right,right,5-Jun,210,12/9/71,9,50,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Woodard,50,27,us US,left,right,4-Jun,225,5/15/75,6,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Young,51,25,us US,right,right,1-Jun,200,10/19/76,3,156,145,156,154,0,0,0,152,4,11,0,0,0,0,1,4,3,
